"order","extinction","ext.var","ext.median","origination","ori.var","ori.median","diversification","div.var","div.median","birth","birth.var","birth.median","death","death.var","death.median","duration","dur.var","dur.median","Nocc","Ngen","first_app_max","first_app_mean","q_rate"
"Arecales",0.00585181025785545,0.00100962222017264,0.00183221371087271,0.0848746825900855,0.0613670677167701,0.0187955998416705,0.07902287233223,0.0625547149109761,0.0164500005673861,160.7,170.010204081633,158,0,0,0,123.031503724052,13.9593297225836,123.089544297819,346,16,125,119,0.768062208034177
"Cycadales",0.00333741056488816,4.16021728758682e-05,0.00301067273681526,0.0351632984186263,0.0282619598883296,0.00809759619195639,0.0318258878537381,0.0283063348929159,0.00506999284803249,421.84,9798.46367346939,394,0,0,0,344.917340915407,2731.68634033767,323.913577769214,352,15,323.2,311.05,0.936500810447218
"Cycadeoideales",0.000327031653487668,3.09549326795418e-05,0.000188593840438798,0.0486249170701433,0.0216274448445329,0.00133429042474012,0.0482978854166556,0.0216466915778004,0.00109921672402288,301.26,2372.8493877551,291.5,0,0,0,261.259925060077,153.299394265802,259.107944396015,825,18,259,255.585,0.550855103875817
"Ericales",0.0164855086792747,0.0109123775683251,0.00153138017519238,0.167281671799299,0.150930056642788,0.0189675000523066,0.150796163120025,0.166126069097047,0.01717820198098,143.96,852.651428571429,131.5,0,0,0,108.818647254393,89.6252549413492,104.929165255084,575,28,99.6,96.55,1.59380106061731
"Fabales",0.0170231579952411,0.00888323748340409,0.00249693601755212,0.0668289223746421,0.0230874086039018,0.0313451867349,0.049805764379401,0.0329711256570349,0.0277871259686533,125.5,123.397959183673,125,0,0,0,99.7929211151985,4.27994375872371,100.05453418274,317,23,100.5,96.55,0.657856217857673
"Fagales",0.0160311715250768,0.0106870393025403,0.000751829200989521,0.0360976323612026,0.00865331322501573,0.0330314265122355,0.0200664608361258,0.0203631379168087,0.0320304245257444,135.04,118.528979591837,136,0,0,0,126.504450697941,144.503425522367,127.736253476405,2334,26,145,122.75,0.972294774128633
"Gleicheniales",0.00193060478818592,0.000256796737047428,0.000932927054615475,0.063434020591375,0.0560012938196164,0.00570633160410016,0.061503415803189,0.0562957948224921,0.00462640149804126,344.58,1023.79959183673,331,0,0,0,278.923639833412,48.8953538922479,278.732628426876,585,11,272.5,262.4,0.613014455723784
"Lamiales",0.00974130596916836,0.00587739293969397,0.00149641349425374,0.0250119421307648,0.00495449028160686,0.0191292172208496,0.0152706361615965,0.0104894152031737,0.017033108557211,266.64,42.7657142857143,266,0,0,0,240.069844208221,14.5334593215612,240.283740052313,232,11,242,235,1.15178109818331
"Laurales",0.00844741446939365,0.00402178890865709,0.000530618764719055,0.105168371102472,0.088690986633746,0.0102984684526019,0.0967209566330783,0.0941041182978265,0.00956287762384829,190.28,1354.12408163265,181.5,0,0,0,148.173799063079,180.653038592173,146.362542266773,464,22,145,122.75,0.391585866580639
"Lycopodiales",0.00131360890237386,5.72719498706191e-05,0.0010166338184267,0.0158626465296771,0.00881784254080531,0.00680818677385623,0.0145490376273032,0.00887082627818853,0.0056518456367042,413.18,338.599591836735,409,0,0,0,368.549523132227,35.5141976924142,369.548629334565,374,11,364.7,355.7,0.433434969514654
"Malpighiales",0.0154239935080873,0.00909836527650726,0.00173129733833589,0.12765377878086,0.0936880264395277,0.020983019773749,0.112229785272773,0.104817887500518,0.0187789140000213,149.34,505.494285714286,144,0,0,0,116.20341630639,9.46854601414293,115.103568009158,866,35,113,106.75,0.883957989527973
